Date,Close
2014-01-02,35.7
2014-01-03,35.29
2014-01-06,35.1
2014-01-07,34.77
2014-01-08,34.61
2014-01-09,34.55
2014-01-10,34.05
2014-01-13,34.16
2014-01-14,33.77
2014-01-15,33.57
2014-01-16,34.41
2014-01-17,35.41
2014-01-20,35.51
2014-01-21,35.46
2014-01-22,35.16
2014-01-23,34.61
2014-01-24,34.61
2014-01-28,33.93
2014-01-29,34.45
2014-01-30,34.28
2014-01-31,34.17
2014-02-03,34.05
2014-02-04,33.17
2014-02-05,32.97
2014-02-06,33.24
2014-02-07,33.72
2014-02-10,34.11
2014-02-11,34.15
2014-02-12,34.76
2014-02-13,34.87
2014-02-14,35.24
2014-02-17,35.53
2014-02-18,36.34
2014-02-20,36.16
2014-02-21,36.6
2014-02-24,36.8
2014-02-25,36.54
2014-02-26,36.05
2014-02-27,35.86
2014-02-28,35.86
2014-03-03,34.95
2014-03-04,34.91
2014-03-05,35.32
2014-03-06,35.19
2014-03-07,35.25
2014-03-10,33.79
2014-03-11,33.57
2014-03-12,33.63
2014-03-13,34.01
2014-03-14,33.32
2014-03-17,33.14
2014-03-18,33.71
2014-03-19,33.51
2014-03-20,32.89
2014-03-21,33.25
2014-03-24,33.4
2014-03-25,33.57
2014-03-26,34.15
2014-03-27,33.62
2014-03-28,33.77
2014-03-31,34.08
2014-04-01,34.62
2014-04-02,34.92
2014-04-03,35.07
2014-04-04,35.28
2014-04-07,35.27
2014-04-08,35.4
2014-04-09,35.88
2014-04-10,35.42
2014-04-11,35.15
2014-04-14,34.91
2014-04-15,35.3
2014-04-16,35.45
2014-04-17,35.6
2014-04-22,35.52
2014-04-23,35.7
2014-04-24,35.77
2014-04-28,35.39
2014-04-29,35.14
2014-04-30,35.28
2014-05-01,35.04
2014-05-02,34.83
2014-05-05,35.03
2014-05-06,35.19
2014-05-07,34.73
2014-05-08,35.18
2014-05-09,34.89
2014-05-12,34.72
2014-05-13,35.47
2014-05-14,35.79
2014-05-15,35.75
2014-05-16,35.58
2014-05-19,34.98
2014-05-20,34.99
2014-05-21,34.73
2014-05-22,35.18
2014-05-23,35.18
2014-05-26,35.42
2014-05-27,35.41
2014-05-28,35.5
2014-05-29,35.03
2014-05-30,34.58
2014-06-02,34.19
2014-06-03,34.01
2014-06-04,33.79
2014-06-05,33.83
2014-06-06,33.86
2014-06-10,33.9
2014-06-11,33.58
2014-06-12,33.37
2014-06-13,32.98
2014-06-16,33.28
2014-06-17,33.04
2014-06-18,32.97
2014-06-19,34.04
2014-06-20,33.59
2014-06-23,34.06
2014-06-24,34.07
2014-06-25,33.84
2014-06-26,34.11
2014-06-27,34.03
2014-06-30,33.55
2014-07-01,33.64
2014-07-02,34.43
2014-07-03,34.79
2014-07-04,35.11
2014-07-07,35.2
2014-07-08,35.13
2014-07-09,34.81
2014-07-10,34.96
2014-07-11,35.12
2014-07-14,35.38
2014-07-15,35.54
2014-07-16,35.74
2014-07-17,36.02
2014-07-18,35.87
2014-07-21,35.71
2014-07-22,35.99
2014-07-23,36.42
2014-07-24,36.5
2014-07-25,36.44
2014-07-28,36.54
2014-07-29,36.5
2014-07-30,36.44
2014-07-31,36.14
2014-08-01,35.89
2014-08-04,35.79
2014-08-05,35.52
2014-08-06,35.81
