Date,Close
02/01/2014,80.54
03/01/2014,80.45
06/01/2014,80.64
07/01/2014,81.42
08/01/2014,80.24
09/01/2014,80.42
10/01/2014,80.3
13/01/2014,80.01
14/01/2014,80.87
15/01/2014,80.79
16/01/2014,80.56
17/01/2014,79.88
21/01/2014,80.18
22/01/2014,79.23
23/01/2014,78.24
24/01/2014,79.18
27/01/2014,78.47
28/01/2014,79.11
29/01/2014,77.64
30/01/2014,76.87
31/01/2014,76.62
03/02/2014,75.7
04/02/2014,76.09
05/02/2014,76.45
06/02/2014,76.9
07/02/2014,77.31
10/02/2014,78.03
11/02/2014,78.84
12/02/2014,77.49
13/02/2014,77.8
14/02/2014,79.4
18/02/2014,77.97
19/02/2014,78.14
20/02/2014,77.92
21/02/2014,77.97
24/02/2014,77.86
25/02/2014,78.12
26/02/2014,77.86
27/02/2014,78.19
28/02/2014,78.66
03/03/2014,77.48
04/03/2014,78.45
05/03/2014,77.82
06/03/2014,78.06
07/03/2014,78.38
10/03/2014,78.53
11/03/2014,78.95
12/03/2014,79.24
13/03/2014,79.19
14/03/2014,78.98
17/03/2014,79.84
18/03/2014,79.77
19/03/2014,78.78
20/03/2014,78.32
21/03/2014,77.88
24/03/2014,79.3
25/03/2014,79.81
26/03/2014,79.5
27/03/2014,79.65
28/03/2014,79.76
31/03/2014,80.6
01/04/2014,80.34
02/04/2014,80.13
03/04/2014,80.1
04/04/2014,79.77
07/04/2014,80.49
08/04/2014,81.35
09/04/2014,81.49
10/04/2014,81.09
11/04/2014,80.76
14/04/2014,80.81
15/04/2014,80.84
16/04/2014,81.65
17/04/2014,81.76
21/04/2014,81.56
22/04/2014,81.25
23/04/2014,80.36
24/04/2014,81.15
25/04/2014,81.41
28/04/2014,82.94
29/04/2014,82.44
30/04/2014,82.55
01/05/2014,82.34
02/05/2014,81.92
05/05/2014,81.7
06/05/2014,81.13
07/05/2014,82.09
08/05/2014,82.16
09/05/2014,82.39
12/05/2014,81.73
13/05/2014,81.61
14/05/2014,81.17
15/05/2014,80.53
16/05/2014,80.33
19/05/2014,79.93
20/05/2014,80.23
21/05/2014,80.49
22/05/2014,80.65
23/05/2014,80.52
27/05/2014,80.08
28/05/2014,80.1
29/05/2014,80.4
30/05/2014,80.79
02/06/2014,80.36
03/06/2014,79.93
04/06/2014,79.86
05/06/2014,80.11
06/06/2014,80.03
09/06/2014,80.09
10/06/2014,80.15
11/06/2014,80.06
12/06/2014,79.76
13/06/2014,79.64
16/06/2014,79.69
17/06/2014,79.58
18/06/2014,79.79
19/06/2014,80.24
20/06/2014,79.93
23/06/2014,79.52
24/06/2014,79.01
25/06/2014,79.32
26/06/2014,78.62
27/06/2014,79.02
30/06/2014,78.59
01/07/2014,79.28
02/07/2014,79.56
03/07/2014,79.98
07/07/2014,80.19
08/07/2014,80.56
09/07/2014,81.67
10/07/2014,81.61
11/07/2014,81.16
14/07/2014,81.32
15/07/2014,81.26
16/07/2014,80.94
17/07/2014,80.4
18/07/2014,80.55
21/07/2014,80.28
22/07/2014,80.1
23/07/2014,79.99
24/07/2014,80.26
25/07/2014,79.56
28/07/2014,79.26
29/07/2014,78.65
30/07/2014,78.16
31/07/2014,77.32
01/08/2014,79.65
04/08/2014,79.22
05/08/2014,79.41
06/08/2014,81.09
07/08/2014,80.14
08/08/2014,80.95
11/08/2014,81.48
12/08/2014,81.42
13/08/2014,81.48
14/08/2014,81.95
15/08/2014,81.78
18/08/2014,82.44
19/08/2014,82.69
20/08/2014,82.81
21/08/2014,83.28
22/08/2014,83.39
25/08/2014,83.54
26/08/2014,83.38
27/08/2014,83.31
28/08/2014,83.03
29/08/2014,83.11
02/09/2014,82.98
03/09/2014,82.9
04/09/2014,83.7
05/09/2014,83.77
08/09/2014,83.32
09/09/2014,82.99
10/09/2014,83.64
11/09/2014,83.49
12/09/2014,83.26
15/09/2014,83.87
16/09/2014,84.08
17/09/2014,84.16
18/09/2014,84.19
19/09/2014,84.47
22/09/2014,84.81
23/09/2014,84.44
24/09/2014,85.24
25/09/2014,84.33
26/09/2014,84.58
29/09/2014,84.44
30/09/2014,83.74
01/10/2014,83.14
02/10/2014,83.05
03/10/2014,83.79
06/10/2014,83.57
07/10/2014,83.16
08/10/2014,84.18
09/10/2014,83.66
10/10/2014,84.69
13/10/2014,83.37
14/10/2014,83.55
15/10/2014,82.95
16/10/2014,82.24
17/10/2014,83.27
20/10/2014,84.18
21/10/2014,84.61
22/10/2014,84.23
23/10/2014,83.23
24/10/2014,85.16
27/10/2014,85.95
28/10/2014,86.47
29/10/2014,86.54
30/10/2014,86.94
31/10/2014,87.27
03/11/2014,87.38
04/11/2014,88.64
05/11/2014,89
06/11/2014,88.9
07/11/2014,89.13
10/11/2014,89.45
11/11/2014,89.67
12/11/2014,89.48
13/11/2014,88.6
14/11/2014,88.11
17/11/2014,87.84
18/11/2014,87.95
19/11/2014,88.73
20/11/2014,88.47
21/11/2014,88.6
24/11/2014,88.11
25/11/2014,88.8
26/11/2014,88.88
28/11/2014,90.43
01/12/2014,90.08
02/12/2014,91.07
03/12/2014,90
04/12/2014,90.58
05/12/2014,90.38
08/12/2014,90.76
09/12/2014,90.71
10/12/2014,90
11/12/2014,90.41
12/12/2014,89.55
15/12/2014,89.2
16/12/2014,89.36
17/12/2014,90.7
18/12/2014,92
19/12/2014,92.05
22/12/2014,92.6
23/12/2014,93.29
24/12/2014,93.14
26/12/2014,93.46
29/12/2014,92.64
30/12/2014,92.4
31/12/2014,91.09
02/01/2015,90.44
05/01/2015,90.01
06/01/2015,89.6
07/01/2015,90.07
08/01/2015,91.1
09/01/2015,90.25
12/01/2015,89.92
13/01/2015,90.3
14/01/2015,89.99
15/01/2015,89.86
16/01/2015,91.25
20/01/2015,91.19
21/01/2015,90.73
22/01/2015,91.62
23/01/2015,90.08
26/01/2015,89.58
27/01/2015,86.49
28/01/2015,85.15
29/01/2015,85.67
30/01/2015,84.29
02/02/2015,85.12
03/02/2015,85.95
04/02/2015,85.79
05/02/2015,86.7
06/02/2015,85.61
09/02/2015,85.05
10/02/2015,85.39
11/02/2015,85.64
12/02/2015,86.03
13/02/2015,85.9
17/02/2015,85.49
18/02/2015,86.26
19/02/2015,85.21
20/02/2015,84.87
23/02/2015,85.39
24/02/2015,85.5
25/02/2015,85.46
26/02/2015,85.17
27/02/2015,85.13
02/03/2015,85.41
03/03/2015,85.16
04/03/2015,84.35
05/03/2015,84.63
06/03/2015,82.66
09/03/2015,83.09
10/03/2015,81.54
11/03/2015,81.39
12/03/2015,82.09
13/03/2015,81.83
16/03/2015,83.56
17/03/2015,82.85
18/03/2015,83.75
19/03/2015,83.38
20/03/2015,84.74
23/03/2015,84.86
24/03/2015,83.92
25/03/2015,83.01
26/03/2015,82.15
27/03/2015,82.31
30/03/2015,82.72
31/03/2015,81.94
01/04/2015,82.32
02/04/2015,82.43
06/04/2015,83.04
07/04/2015,82.39
08/04/2015,82.77
09/04/2015,82.89
10/04/2015,83.35
13/04/2015,83.43
14/04/2015,83.6
15/04/2015,83.51
16/04/2015,83.5
17/04/2015,82.53
20/04/2015,82.87
21/04/2015,83.08
22/04/2015,83.09
23/04/2015,80.95
24/04/2015,81
27/04/2015,80.6
28/04/2015,80.42
29/04/2015,79.85
30/04/2015,79.51
01/05/2015,80.29
04/05/2015,80.35
05/05/2015,80.07
06/05/2015,80.4
07/05/2015,80.2
08/05/2015,80.96
11/05/2015,80.27
12/05/2015,79.95
13/05/2015,79.7
14/05/2015,80.57
15/05/2015,81.05
18/05/2015,80.74
19/05/2015,80.83
20/05/2015,80.48
21/05/2015,80.41
22/05/2015,79.95
26/05/2015,79.14
27/05/2015,79.39
28/05/2015,79.33
29/05/2015,78.39
01/06/2015,78.85
02/06/2015,78.54
03/06/2015,78.56
04/06/2015,78.15
05/06/2015,77.43
08/06/2015,77.71
09/06/2015,78.9
10/06/2015,79.54
11/06/2015,79.41
12/06/2015,78.87
15/06/2015,78.12
16/06/2015,79.1
17/06/2015,80.08
18/06/2015,80.82
19/06/2015,80.54
22/06/2015,80.45
23/06/2015,79.79
24/06/2015,79.51
25/06/2015,79.39
26/06/2015,79.34
29/06/2015,78.32
30/06/2015,78.24
01/07/2015,79.72
02/07/2015,79.93
06/07/2015,80.05
07/07/2015,81.72
08/07/2015,80.99
09/07/2015,80.66
10/07/2015,80.95
13/07/2015,81.91
14/07/2015,82.04
15/07/2015,82.15
16/07/2015,82.3
17/07/2015,82.24
20/07/2015,82.19
21/07/2015,81.63
22/07/2015,80.83
23/07/2015,80.7
24/07/2015,80.29
27/07/2015,79.97
28/07/2015,80.23
29/07/2015,80.62
30/07/2015,77.39
31/07/2015,76.7
03/08/2015,76.4
04/08/2015,75.91
05/08/2015,75.77
06/08/2015,75.74
07/08/2015,75.48
10/08/2015,76.38
11/08/2015,76.22
12/08/2015,76.39
13/08/2015,75.78
14/08/2015,75.62
17/08/2015,75.53
18/08/2015,75.13
19/08/2015,74.12
20/08/2015,73.91
21/08/2015,71.84
24/08/2015,69.14
25/08/2015,68.42
26/08/2015,70.9
27/08/2015,71.48
28/08/2015,71.21
31/08/2015,70.67
01/09/2015,68.9
02/09/2015,69.81
03/09/2015,69.93
04/09/2015,68.76
08/09/2015,69.98
09/09/2015,68.48
10/09/2015,68.32
11/09/2015,68.42
14/09/2015,68.06
15/09/2015,69.45
16/09/2015,70.1
17/09/2015,70.24
18/09/2015,69.94
21/09/2015,70.65
22/09/2015,70.19
23/09/2015,70.26
24/09/2015,71.36
25/09/2015,72.67
28/09/2015,71.77
29/09/2015,72.28
30/09/2015,71.94
01/10/2015,71.95
02/10/2015,72.42
05/10/2015,73.22
06/10/2015,73.4
07/10/2015,73.72
08/10/2015,74.4
09/10/2015,74.48
12/10/2015,74.33
13/10/2015,74.11
14/10/2015,74.21
15/10/2015,74.27
16/10/2015,74.9
19/10/2015,75.16
20/10/2015,74.43
21/10/2015,73.59
22/10/2015,74.85
23/10/2015,77.03
26/10/2015,77.49
27/10/2015,77.29
28/10/2015,76.51
29/10/2015,77.02
30/10/2015,76.38
02/11/2015,76.6
03/11/2015,77.05
04/11/2015,77.06
05/11/2015,76.39
06/11/2015,75.57
09/11/2015,75.4
10/11/2015,75.77
11/11/2015,75.96
12/11/2015,74.66
13/11/2015,73.96
16/11/2015,75.3
17/11/2015,75.07
18/11/2015,75.9
19/11/2015,76.22
20/11/2015,75.82
23/11/2015,75.97
24/11/2015,76.45
25/11/2015,75.9
27/11/2015,75.7
30/11/2015,74.84
01/12/2015,75.94
02/12/2015,75.79
03/12/2015,75.74
04/12/2015,77.83
07/12/2015,78.37
08/12/2015,77.75
09/12/2015,77.7
10/12/2015,77.79
11/12/2015,77.78
14/12/2015,78.29
15/12/2015,79.68
16/12/2015,80.99
17/12/2015,80.29
18/12/2015,78.13
21/12/2015,78.95
22/12/2015,79.6
23/12/2015,79.92
24/12/2015,79.79
28/12/2015,79.92
29/12/2015,80.36
30/12/2015,80.07
31/12/2015,79.41
04/01/2016,78.37
05/01/2016,78.62
06/01/2016,77.86
07/01/2016,77.18
08/01/2016,75.97
11/01/2016,76.67
12/01/2016,76.51
13/01/2016,75.85
14/01/2016,76.15
15/01/2016,74.98
19/01/2016,76.73
20/01/2016,75.83
21/01/2016,76.72
22/01/2016,77.36
25/01/2016,76.85
26/01/2016,78.81
27/01/2016,78.8
28/01/2016,79.82
29/01/2016,81.69
01/02/2016,81.12
02/02/2016,80.22
03/02/2016,81.1
04/02/2016,80.7
05/02/2016,81.2
08/02/2016,82.62
09/02/2016,82.64
10/02/2016,81.62
11/02/2016,79.9
12/02/2016,80.99
16/02/2016,81.47
17/02/2016,82.45
18/02/2016,81.98
19/02/2016,81.79
22/02/2016,82.13
23/02/2016,81.81
24/02/2016,81.56
25/02/2016,82.34
26/02/2016,81.1
29/02/2016,80.29
01/03/2016,81.23
02/03/2016,82.55
03/03/2016,82.84
04/03/2016,83.49
07/03/2016,83.1
08/03/2016,83.06
09/03/2016,82.96
10/03/2016,82.28
11/03/2016,81.75
14/03/2016,81.17
15/03/2016,81.31
16/03/2016,81.34
17/03/2016,82.75
18/03/2016,83.15
21/03/2016,83.32
22/03/2016,82.74
23/03/2016,82.82
24/03/2016,82.89
28/03/2016,82.62
29/03/2016,82.8
30/03/2016,82.68
31/03/2016,82.31
01/04/2016,83.53
04/04/2016,83.21
05/04/2016,83.16
06/04/2016,83.81
07/04/2016,83.24
08/04/2016,83.2
11/04/2016,82.73
12/04/2016,82.83
13/04/2016,82.46
14/04/2016,82.01
15/04/2016,82.3
18/04/2016,82.83
19/04/2016,83.28
20/04/2016,81.55
21/04/2016,80.8
22/04/2016,80.95
25/04/2016,81.41
26/04/2016,79.55
27/04/2016,79.89
28/04/2016,79.76
29/04/2016,80.12
02/05/2016,80.97
03/05/2016,81.1
04/05/2016,81.6
05/05/2016,81.3
06/05/2016,82.13
09/05/2016,82.12
10/05/2016,82.48
11/05/2016,82.15
12/05/2016,82.41
13/05/2016,81.23
16/05/2016,81.63
17/05/2016,80.62
18/05/2016,79.85
19/05/2016,80.19
20/05/2016,80.02
23/05/2016,80.2
24/05/2016,80.97
25/05/2016,81.48
26/05/2016,81.22
27/05/2016,81.43
31/05/2016,81.04
01/06/2016,81.79
02/06/2016,81.95
03/06/2016,82.47
06/06/2016,82.77
07/06/2016,82.32
08/06/2016,82.65
09/06/2016,83.17
10/06/2016,83.2
13/06/2016,82.57
14/06/2016,83.35
15/06/2016,82.95
16/06/2016,83.41
17/06/2016,83.13
20/06/2016,83.04
21/06/2016,83.41
22/06/2016,83.57
23/06/2016,84.21
24/06/2016,82.26
27/06/2016,81.23
28/06/2016,82.46
29/06/2016,83.91
30/06/2016,84.67
01/07/2016,84.78
05/07/2016,85.44
06/07/2016,85.03
07/07/2016,84.83
08/07/2016,85.77
11/07/2016,85.75
12/07/2016,85.75
13/07/2016,85.89
14/07/2016,85.87
15/07/2016,86.01
18/07/2016,85.93
19/07/2016,86.17
20/07/2016,85.32
21/07/2016,85.26
22/07/2016,85.72
25/07/2016,85.8
26/07/2016,85.27
27/07/2016,84.46
28/07/2016,84.81
29/07/2016,85.59
01/08/2016,86.41
02/08/2016,86.76
03/08/2016,85.97
04/08/2016,86.05
05/08/2016,85.78
08/08/2016,85.76
09/08/2016,85.99
10/08/2016,86.31
11/08/2016,86.73
12/08/2016,87.04
15/08/2016,87.02
16/08/2016,86.58
17/08/2016,86.96
18/08/2016,87.44
19/08/2016,87.31
22/08/2016,86.85
23/08/2016,87.4
24/08/2016,87.31
25/08/2016,87.9
26/08/2016,87.58
29/08/2016,88.3
30/08/2016,87.54
31/08/2016,87.31
01/09/2016,88.31
02/09/2016,88.2
06/09/2016,88.64
07/09/2016,87.95
08/09/2016,87.78
09/09/2016,86.24
12/09/2016,88.25
13/09/2016,87.05
14/09/2016,87.01
15/09/2016,88.06
16/09/2016,88.05
19/09/2016,88.37
20/09/2016,88.58
21/09/2016,87.8
22/09/2016,88.99
23/09/2016,87.76
26/09/2016,87.85
27/09/2016,88.36
28/09/2016,89.46
29/09/2016,88.23
30/09/2016,89.75
03/10/2016,88.66
04/10/2016,88.35
05/10/2016,88.85
06/10/2016,89.22
07/10/2016,90
10/10/2016,89.06
11/10/2016,88.54
12/10/2016,88.57
13/10/2016,88.24
14/10/2016,88.43
17/10/2016,87.83
18/10/2016,87.45
19/10/2016,85.54
20/10/2016,84.93
21/10/2016,84.33
24/10/2016,84.1
25/10/2016,86.97
26/10/2016,87.4
27/10/2016,86.58
28/10/2016,86.84
31/10/2016,86.8
01/11/2016,86.85
02/11/2016,86.74
03/11/2016,86.6
04/11/2016,85.08
07/11/2016,86.56
08/11/2016,87.46
09/11/2016,85.93
10/11/2016,82.96
11/11/2016,83.58
14/11/2016,83
15/11/2016,83.62
16/11/2016,83.19
17/11/2016,83.07
18/11/2016,82
21/11/2016,82.64
22/11/2016,82.76
23/11/2016,82.68
25/11/2016,83.46
28/11/2016,83.07
29/11/2016,82.89
30/11/2016,82.46
01/12/2016,81.86
02/12/2016,82.4
05/12/2016,82.99
06/12/2016,82.91
07/12/2016,84.18
08/12/2016,83.5
09/12/2016,84.37
12/12/2016,85.13
13/12/2016,85.18
14/12/2016,84.37
15/12/2016,84.68
16/12/2016,84.68
19/12/2016,84.71
20/12/2016,84.57
21/12/2016,84.28
22/12/2016,84.47
23/12/2016,84.96
27/12/2016,84.6
28/12/2016,84.07
29/12/2016,84.35
30/12/2016,84.08
03/01/2017,84.2
04/01/2017,84.5
05/01/2017,85.06
06/01/2017,85.03
09/01/2017,84.4
10/01/2017,83.49
11/01/2017,83.75
12/01/2017,83.84
13/01/2017,84.01
17/01/2017,85.21
18/01/2017,84.93
19/01/2017,84.7
20/01/2017,87.45
23/01/2017,86.96
24/01/2017,87.86
25/01/2017,87.16
26/01/2017,86.6
27/01/2017,86.72
30/01/2017,86.75
31/01/2017,87.6
01/02/2017,87.33
02/02/2017,87.76
03/02/2017,87.41
06/02/2017,87.4
07/02/2017,88.01
08/02/2017,88.33
09/02/2017,88.67
10/02/2017,87.97
13/02/2017,88.31
14/02/2017,87.86
15/02/2017,91.12
16/02/2017,90.79
17/02/2017,91.09
21/02/2017,91.67
22/02/2017,91.44
23/02/2017,91.13
24/02/2017,91.05
27/02/2017,90.89
28/02/2017,91.07
01/03/2017,91.66
02/03/2017,90.91
03/03/2017,90.5
06/03/2017,90.37
07/03/2017,90.29
08/03/2017,90.14
09/03/2017,90.34
10/03/2017,91.07
13/03/2017,91.31
14/03/2017,91
15/03/2017,91.4
16/03/2017,91.44
17/03/2017,91
20/03/2017,91.22
21/03/2017,91.19
22/03/2017,90.99
23/03/2017,90.77
24/03/2017,90.57
27/03/2017,90.49
28/03/2017,90.76
29/03/2017,90.6
30/03/2017,90.2
31/03/2017,89.85
03/04/2017,89.68
04/04/2017,89.91
05/04/2017,89.97
06/04/2017,89.4
07/04/2017,89.23
10/04/2017,89.49
11/04/2017,89.8
12/04/2017,90.31
13/04/2017,90.03
17/04/2017,90.39
18/04/2017,90.8
19/04/2017,89.6
20/04/2017,89.33
21/04/2017,88.62
24/04/2017,89.55
25/04/2017,90
26/04/2017,87.74
27/04/2017,87.69
28/04/2017,87.33
01/05/2017,87.09
02/05/2017,86.22
03/05/2017,86.43
04/05/2017,86.45
05/05/2017,86.5
08/05/2017,86.55
09/05/2017,86.4
10/05/2017,86.49
11/05/2017,86.17
12/05/2017,86.19
15/05/2017,86.33
16/05/2017,86.24
17/05/2017,86.26
18/05/2017,85.87
19/05/2017,86.24
22/05/2017,86.21
23/05/2017,86.08
24/05/2017,86.5
25/05/2017,86.86
26/05/2017,87.25
30/05/2017,87.4
31/05/2017,88.09
01/06/2017,88.13
02/06/2017,88.59
05/06/2017,88.74
06/06/2017,88.8
07/06/2017,88.77
08/06/2017,87.85
09/06/2017,88.16
